filename,normal_time,normal_backbones,no_temp_time,no_temp_backbones
00122-128,3681.07,0,3692.02,0
00122-144,3709.65,0,3711.47,0
00122-160,3702.57,0,3710.02,0
00123-80,3707.56,0,3737.86,0
002-80-4,543.28,401,548.17,401
002-80-8,1713.71,410,1754.67,410
002-sc2013,3720.19,0,3717.73,0
00222-128,3732.13,0,3724.77,0
00222-144,3747.42,0,3733.14,0
00222-160,3753.92,0,3766.44,0
003-23-80,3756.61,0,3743.40,0
003-80-8,935.26,409,937.40,409
00322-128,3796.28,0,3777.99,0
00322-144,3599.67,0,3599.65,0
00322-160,3599.59,0,3599.60,0
00323-64,3599.55,0,3599.58,0
004-22-144,3599.68,0,3599.70,0
004-22-160-sc2014,3599.72,0,3600.05,0
004-80-8,2755.83,419,2761.20,419
004-sc2013,3600.50,0,3650.53,0
00422-128,3664.93,0,3667.15,0
00423-64,3662.18,0,3678.33,0
005-22-160,3659.58,0,3669.16,0
005-80-12,3668.17,401,3678.62,401
00522-128,3696.60,0,3693.07,0
00522-144,3693.78,0,3715.90,0
006-22-144,3727.29,0,3725.94,0
006-22-160,3682.24,0,3681.07,0
006-23-80,3732.39,0,3740.34,0
006-80-4,931.30,402,579.36,402
